År;DagMånad;Totalt;M Tot;M 0-64 år;M 65-79 år;M 80-89 år;M 90+ år;K Tot;K 0-64 år;K 65-79 år;K 80-89 år;K 90+ år;-;Sort;Dag;Månad;Ar;;;;;-;Sort;Dag;Månad
2020;18 maj;302;146;21;52;48;25;156;14;34;59;49;;0518;18;maj;2020;;;;;;823;23;augusti
2020;17 maj;279;139;13;58;39;29;140;17;32;46;45;;0517;17;maj;2020;;;;;;824;24;augusti
2020;16 maj;266;133;21;39;45;28;133;9;26;59;39;;0516;16;maj;2020;;;;;;825;25;augusti
2020;15 maj;275;144;19;46;54;25;131;7;31;48;45;;0515;15;maj;2020;;;;;;826;26;augusti
2020;14 maj;275;131;14;48;45;24;144;11;26;60;47;;0514;14;maj;2020;;;;;;827;27;augusti
2020;13 maj;284;136;15;43;59;19;148;12;42;49;45;;0513;13;maj;2020;;;;;;828;28;augusti
2020;12 maj;290;138;17;54;39;28;152;10;39;51;52;;0512;12;maj;2020;;;;;;829;29;augusti
2020;11 maj;319;155;26;39;63;27;164;12;35;65;52;;0511;11;maj;2020;;;;;;830;30;augusti
2020;10 maj;311;152;19;56;55;22;159;7;42;57;53;;0510;10;maj;2020;;;;;;831;31;augusti
2020;9 maj;284;146;18;43;47;38;138;7;25;57;49;;0509;9;maj;2020;;;;;;901;1;september
2020;8 maj;294;148;19;48;51;30;146;6;31;56;53;;0508;8;maj;2020;;;;;;902;2;september
